Datetime;T_set_Bathroom;T_set_Room3;T_set_Room1;T_set_Room2;T_set_Kitchen;T_set_Dining;T_set_Living;T_m_ext;T_m_water;T_m_ground_post;Irradiation;Occupancy;switch_Bathroom;switch_Room3;switch_Room1;switch_Room2;switch_Kitchen;switch_Dining;switch_Living;T_m_Kitchen;T_m_Dining;T_m_Living;T_m_Room1;T_m_Bathroom;T_m_Room2;T_m_Room3
2021-02-15 00:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;34.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;19.600000000000023;18.600000000000023;17.26666666666665;17.5;17.53333333333336;16.899999999999977;19.0
2021-02-15 00:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;42.0;15;0.0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;19.400881596305226;18.49374537002967;17.16114880498884;17.448889316582722;18.38902256143956;17.070247156027506;18.675976770404873
2021-02-15 00:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;45.66666666666666;15;0.0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;19.213469196922972;18.39848881330272;17.052947397201024;17.404796995787194;19.055208703703443;17.24717848086391;18.423978494132882
2021-02-15 00:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;45.66666666666666;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.035697494653277;18.30221834754974;16.94164320824916;17.35928304942189;19.02519044478521;17.200373816408785;18.197189255882847
2021-02-15 01:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;38.66666666666666;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.865978223583397;18.201035038097245;16.827964203540205;17.31130386339703;18.716567712195967;17.140514534490137;17.97969268044602
2021-02-15 01:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;35.0;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.703074117843812;18.09446860490334;16.712365319683443;17.26068075549074;18.32122055166394;17.076356932361364;17.766283289874252
2021-02-15 01:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;47.33333333333334;15;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;18.546927186836342;17.998829469664088;16.59737854091577;17.210383772406374;18.89085385830424;17.009667229986405;17.59712674186227
2021-02-15 01:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;44.33333333333334;15;0.0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;18.397300575083534;17.908162744625486;16.486366649524143;17.16518489862466;19.138552571503;17.145211546738324;17.458921681668073
2021-02-15 02:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;49.66666666666666;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.253522284927783;17.813984244826088;16.379434467665703;17.12407492327634;18.863104285380928;17.30554549266003;17.326410896256505
2021-02-15 02:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;51.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;18.114859072511024;17.714212863346404;16.27597186923225;17.08621291759721;18.410708082907433;17.45913978208563;17.191433565124385
2021-02-15 02:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;52.5;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.98066459266647;17.609360170813545;16.17541633676933;17.051286668254306;17.93352159271035;17.60772752925442;17.053346522457332
2021-02-15 02:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;44.33333333333334;15;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;17.851115707006898;17.514663239749723;16.076616593308472;17.014481205117704;18.36257134673866;17.491675848045134;16.942991037486024
2021-02-15 03:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;47.33333333333334;15;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;17.726290253950708;17.428484979802704;15.980533789813876;16.975602231377422;18.74307877165745;17.3688616407768;16.854490385988242
2021-02-15 03:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;60.0;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.60565856910813;17.34038520355176;15.886610279540093;16.933077073873733;18.50971147426145;17.249144435869255;16.759204138474615
2021-02-15 03:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;48.33333333333334;15;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.48856062297955;17.247385947745897;15.79392287379602;16.886560183039308;18.060883073061746;17.13224376424381;16.64917889064901
2021-02-15 03:45:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;38.333333333333336;15;0.0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;17.374996328521092;17.15855212447849;15.704552368902284;16.842315539461367;18.133243159425092;17.176431949440712;16.553500625673735
2021-02-15 04:00:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;57.66666666666666;15;0.0;0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;17.265649476383658;17.08435078185721;15.621755972271501;16.80612471304238;18.875303832349346;17.358704244549642;16.503003235525796
2021-02-15 04:15:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;1.0;48.0;15;0.0;0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;17.163307525750668;17.00954451425929;15.544165664259367;17.042342160602118;18.733783981526244;17.4597253647633;16.452044575599473
2021-02-15 04:30:00+00:00;17.0;17.0;17.0;17.0;16.0;16.0;16.0;2.0;51.0;15;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.06718648515141;16.93200920236552;15.482202946849839;16.966587718933567;18.286326036721107;17.57712738247892;16.397284409014787
